ID,area_m2,WUA,HHS,d_HSI,v_HSI,watershed,scenario,year,scale
NF1,33964,9375.88324950562,0.2760535640532805,0.1581544746415998,0.7171380410362274,nf,chnk_juv,2019,geo
NF10,6991,680.5063120691108,0.09734033930326287,0.34485476238003554,0.0988584859849685,nf,chnk_juv,2019,geo
NF11,7623,581.352464644629,0.07626294957951318,0.304777363357634,0.07678922823405784,nf,chnk_juv,2019,geo
NF12,7379,560.9288739594148,0.07601692288378029,0.2745303662557689,0.07292048758145779,nf,chnk_juv,2019,geo
NF13,6595,628.1931805761769,0.09525294625870764,0.33358240381710813,0.09918821300956902,nf,chnk_juv,2019,geo
NF14,6789,588.3479101632233,0.08666193992682623,0.2776935341446613,0.09239524572977421,nf,chnk_juv,2019,geo
NF15,6167,263.31990106179364,0.04269821648480519,0.23764955721156653,0.05930839222772656,nf,chnk_juv,2019,geo
NF16,6239,337.8842058052044,0.054156788877256674,0.24074880249199532,0.06505168652411651,nf,chnk_juv,2019,geo
NF17,5667,406.4288271758323,0.07171851547129562,0.2547246668979692,0.09404178169469803,nf,chnk_juv,2019,geo
NF18,5392,353.6735222571118,0.06559227044827741,0.29688874045352204,0.09266957365564217,nf,chnk_juv,2019,geo
NF19,1734,102.98798547839235,0.059393301890653026,0.28011689991318506,0.07430044146605533,nf,chnk_juv,2019,geo
NF2,25509,7035.908515391139,0.2758206325371884,0.13541954778540938,0.9148092058817036,nf,chnk_juv,2019,geo
NF3,33484,8785.5352301247,0.2623800988569078,0.11419052592796915,0.9389594737343934,nf,chnk_juv,2019,geo
NF4,22568,5362.16422429211,0.23760032897430475,0.09546656481294251,0.9355369590087441,nf,chnk_juv,2019,geo
NF5,159,54.42543596255148,0.34229833938711623,0.1604795687309601,0.9359309072515184,nf,chnk_juv,2019,geo
NF9,7800,865.3783996845285,0.11094594867750365,0.352392449578701,0.11555789183459508,nf,chnk_juv,2019,geo
